model,variant,ood_val_n,accuracy,AUROC,AUPRC,sensitivity,specificity,false_negatives,ECE,Brier,NLL,high_conf_FN_ge_0p90,high_conf_FN_ge_0p95,high_conf_FN_ge_0p99,interpretation_note
7F GroupDRO (primary candidate),raw,34904,0.7847238138895255,0.8956091243936612,0.8957947783716276,0.6406715562686225,0.9287760715104286,6271,0.15602302988441474,0.17820783706024299,0.7591490964497031,3922,3131,1679,Ranking/argmax metrics (accuracy/AUROC/AUPRC/sensitivity/specificity/FN) are unchanged by temperature scaling; calibration mainly improves ECE/Brier/NLL and reduces high-confidence missed tumors. Development-stage; ood_test locked.
7F GroupDRO (primary candidate),calibrated,34904,0.7847238138895255,0.8956090948440276,0.8957921003897702,0.6406715562686225,0.9287760715104286,6271,0.03942447816695845,0.14582043238204634,0.44505721947326793,533,82,0,Ranking/argmax metrics (accuracy/AUROC/AUPRC/sensitivity/specificity/FN) are unchanged by temperature scaling; calibration mainly improves ECE/Brier/NLL and reduces high-confidence missed tumors. Development-stage; ood_test locked.
7F center-stratified ERM (matched control),raw,34904,0.7674765069906028,0.8672713836120831,0.8757234698151578,0.6073802429520971,0.9275727710291084,6852,0.1829087550427397,0.20704918373595985,1.1910650056630852,5447,4976,3794,Ranking/argmax metrics (accuracy/AUROC/AUPRC/sensitivity/specificity/FN) are unchanged by temperature scaling; calibration mainly improves ECE/Brier/NLL and reduces high-confidence missed tumors. Development-stage; ood_test locked.
7F center-stratified ERM (matched control),calibrated,34904,0.7674765069906028,0.8672713934619609,0.8757235066632654,0.6073802429520971,0.9275727710291084,6852,0.06953214379659593,0.17272121867576712,0.5320650774900768,1693,539,5,Ranking/argmax metrics (accuracy/AUROC/AUPRC/sensitivity/specificity/FN) are unchanged by temperature scaling; calibration mainly improves ECE/Brier/NLL and reduces high-confidence missed tumors. Development-stage; ood_test locked.
