stage,split,center,model,role,n,accuracy,balanced_accuracy,auroc,auprc,sensitivity,specificity,precision,f1,tn,fp,fn,tp,scope_note
full_development,id_val,"{0,3,4}",groupdro,predeclared_primary,33560,0.8415673420738975,0.8407109732250917,0.9322560765475408,0.9321793201142424,0.7571652215799615,0.9242567248702218,0.907352622844361,0.8254833098106148,15668,1284,4033,12575,"Full-development id_val; centers 0,3,4; development evidence, not final."
full_development,ood_val,{1},groupdro,predeclared_primary,34904,0.7847238138895255,0.7847238138895256,0.8956091243936612,0.8957947783716276,0.6406715562686225,0.9287760715104286,0.8999517063747585,0.7484937742669702,16209,1243,6271,11181,"Full-development ood_val; center 1; development evidence used for model assessment, not final."
full_development,id_val,"{0,3,4}",centerstrat_erm,matched_control,33560,0.7986591179976162,0.7974762812101902,0.9085377911087048,0.913066969342248,0.6820809248554913,0.9128716375648892,0.8846544318625537,0.7702716485907593,15475,1477,5280,11328,"Full-development id_val; centers 0,3,4; development evidence, not final."
full_development,ood_val,{1},centerstrat_erm,matched_control,34904,0.7674765069906028,0.7674765069906028,0.8672713836120831,0.8757234698151578,0.6073802429520971,0.9275727710291084,0.8934592043155766,0.7231545913494338,16188,1264,6852,10600,"Full-development ood_val; center 1; development evidence used for model assessment, not final."
final_held_out,ood_test,{2},groupdro,predeclared_primary,85054,0.5337197545089002,0.5337197545089002,0.6633704256200204,0.63641261236421,0.1105650527899922,0.9568744562278082,0.7194002447980417,0.1916719320057884,40693,1834,37825,4702,Single authorized reserved-center final evaluation; attempt 1; no post-test selection.
final_held_out,ood_test,{2},centerstrat_erm,matched_control,85054,0.5711547957768006,0.5711547957768006,0.6984352121958427,0.6556283801091156,0.2410703788181625,0.9012392127354386,0.7093827843897038,0.3598518752522859,38327,4200,32275,10252,Single authorized reserved-center final evaluation; attempt 1; no post-test selection.
