model,model_label,split,threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,false_negative_rate_over_tumors,predicted_positive_rate
plain,plain ERM (4A/5A),id_val,0.5,0.964,0.964,0.944,0.984,0.9833333333333333,0.9632653061224489,246,4,14,236,0.056,0.48
plain,plain ERM (4A/5A),ood_val,0.5,0.6195,0.6194999999999999,0.405,0.834,0.7092819614711033,0.5155951623169956,834,166,595,405,0.595,0.2855
stain7a,stain-aug 7A,id_val,0.5,0.948,0.948,0.908,0.988,0.9869565217391304,0.9458333333333333,247,3,23,227,0.092,0.46
stain7a,stain-aug 7A,ood_val,0.5,0.529,0.529,0.096,0.962,0.7164179104477612,0.16931216931216933,962,38,904,96,0.904,0.067
stain7d,stain-aug v2 7D,id_val,0.5,0.944,0.944,0.904,0.984,0.9826086956521739,0.9416666666666667,246,4,24,226,0.096,0.46
stain7d,stain-aug v2 7D,ood_val,0.5,0.5135,0.5135,0.065,0.962,0.6310679611650486,0.11786038077969174,962,38,935,65,0.935,0.0515
