model,model_label,split,n,accuracy,balanced_accuracy,auroc,auprc,sensitivity,specificity,precision,f1,tn,fp,fn,tp
erm7f,7F center-strat ERM [NEW],id_val,450,0.9088888888888889,0.9088888888888889,0.9662222222222223,0.9717401269466615,0.8933333333333333,0.9244444444444444,0.9220183486238532,0.90744920993228,208,17,24,201
erm7f,7F center-strat ERM [NEW],ood_val,2000,0.4765,0.4765,0.6180269999999999,0.521417092650106,0.01,0.943,0.14925373134328357,0.01874414245548266,943,57,990,10
groupdro7f,7F GroupDRO [NEW],id_val,450,0.8977777777777778,0.8977777777777778,0.9666370370370371,0.9702772940656756,0.8577777777777778,0.9377777777777778,0.9323671497584541,0.8935185185185184,211,14,32,193
groupdro7f,7F GroupDRO [NEW],ood_val,2000,0.5065,0.5065,0.7128789999999999,0.6287492248988467,0.07,0.943,0.5511811023622047,0.12422360248447208,943,57,930,70
