model,temperature,ECE_raw,ECE_calibrated,ECE_delta,Brier_raw,Brier_calibrated,Brier_delta,NLL_raw,NLL_calibrated,NLL_delta,confidence_reliability_conclusion
center-strat ERM (7F),3.923949,0.498358,0.369806,-0.128552,0.505929,0.375913,-0.130016,3.485934,1.067191,-2.418743,Temperature scaling improved confidence reliability (ECE/Brier/NLL all down); argmax-invariant (hard predictions unchanged).
GroupDRO (7F),3.657,0.425835,0.252852,-0.172983,0.427764,0.289641,-0.138123,1.913864,0.79082,-1.123043,Temperature scaling improved confidence reliability (ECE/Brier/NLL all down); argmax-invariant (hard predictions unchanged).
