model,variant,temperature,ece,brier,nll,delta_from_raw,hard_predictions_changed,scope_note
groupdro,raw,1.0,0.4006439581474795,0.4123385937834417,1.9441627836686812,"{""brier"": 0.0, ""ece"": 0.0, ""nll"": 0.0}",False,Held-out center-2 reliability with pre-frozen temperature; no refit. Improved confidence metrics do not imply corrected classification errors.
groupdro,calibrated,2.974907,0.2583399203510463,0.3096680541395694,0.8743126064429281,"{""brier"": -0.1026705396438723, ""ece"": -0.1423040377964332, ""nll"": -1.0698501772257532}",False,Held-out center-2 reliability with pre-frozen temperature; no refit. Improved confidence metrics do not imply corrected classification errors.
centerstrat_erm,raw,1.0,0.3084182197890404,0.3446598909605201,1.4183276475805957,"{""brier"": 0.0, ""ece"": 0.0, ""nll"": 0.0}",False,Held-out center-2 reliability with pre-frozen temperature; no refit. Improved confidence metrics do not imply corrected classification errors.
centerstrat_erm,calibrated,3.496293,0.1489841758680231,0.2555235818479269,0.7130964662716416,"{""brier"": -0.08913630911259318, ""ece"": -0.1594340439210173, ""nll"": -0.7052311813089541}",False,Held-out center-2 reliability with pre-frozen temperature; no refit. Improved confidence metrics do not imply corrected classification errors.
